Time,tv_sponsorships,tv_cricket,tv_RON,radio,NPP,Magazines,OOH,Social,Programmatic,Display_Rest,Search,Native,sales
1/1/01,119.652,66.729,43.719,37.8,55.36,13.84,35,41.8782,5,33.50256,26.802048,5,22100
1/2/01,23.14,12.905,8.455,39.3,36.08,9.02,35,8.099,5,6.4792,5.18336,6,10400
1/3/01,8.944,4.988,3.268,45.9,55.44,13.86,35,3.1304,5,2.50432,2.003456,7,9300
1/4/01,78.78,43.935,28.785,41.3,46.8,11.7,35,27.573,5,22.0584,17.64672,5,18500
1/5/01,94.016,52.432,34.352,10.8,46.72,11.68,35,32.9056,5,26.32448,21.059584,7,12900
1/6/01,4.524,2.523,1.653,48.9,60,15,35,1.5834,5,1.26672,1.013376,8,7200
1/7/01,29.9,16.675,10.925,32.8,18.8,4.7,35,10.465,10,8.372,6.6976,9,11800
1/8/01,62.504,34.858,22.838,19.6,9.28,2.32,35,21.8764,10,17.50112,14.000896,5,13200
1/9/01,4.472,2.494,1.634,2.1,0.8,0.2,35,1.5652,10,1.25216,1.001728,5,4800
1/10/01,103.896,57.942,37.962,2.6,16.96,4.24,35,36.3636,10,29.09088,23.272704,5,10600
1/11/01,10,19.169,59.49,5.8,19.36,4.84,35,41.8782,10,33.50256,26.802048,5,8600
1/12/01,10,62.263,193.23,24,3.2,0.8,35,41.8782,10,33.50256,26.802048,5,17400
1/1/02,10,6.902,21.42,35.1,52.72,13.18,35,41.8782,10,33.50256,26.802048,5,9200
1/2/02,10,28.275,87.75,7.6,5.76,1.44,35,10,10,33.50256,26.802048,5,9700
1/3/02,10,59.189,183.69,32.9,36.8,9.2,35,10,10,33.50256,26.802048,5,19000
1/4/02,10,56.666,175.86,47.7,42.32,10.58,35,10,10,33.50256,26.802048,5,22400
1/5/02,10,19.662,61.02,36.6,91.2,22.8,35,10,10,33.50256,26.802048,5,12500
1/6/02,10,81.606,253.26,39.6,44.64,11.16,35,10,10,33.50256,26.802048,5,24400
1/7/02,10,20.068,62.28,20.5,14.64,3.66,35,10,10,33.50256,26.802048,5,11300
1/8/02,10,42.717,132.57,23.9,15.28,3.82,35,10,10,33.50256,26.802048,5,14600
1/9/02,10,63.336,196.56,27.7,42.72,10.68,35,10,10,33.50256,26.802048,5,18000
1/10/02,10,68.846,213.66,5.1,18.8,4.7,35,10,10,33.50256,26.802048,5,12500
1/11/02,10,3.828,11.88,15.9,39.68,9.92,35,10,10,1,26.802048,5,5600
1/12/02,10,66.207,205.47,16.9,20.96,5.24,35,10,10,1,26.802048,5,15500
1/1/03,10,18.067,56.07,12.6,14.64,3.66,35,10,10,1,26.802048,5,9700
1/2/03,10,76.241,236.61,3.5,15.6,3.9,35,10,10,1,26.802048,5,12000
1/3/03,10,71.45,128.61,29.3,10.08,2.52,40,10,10,1,26.802048,5,15000
1/4/03,10,120.05,216.09,16.7,18.32,4.58,40,10,10,1,26.802048,5,15900
1/5/03,10,124.4,223.92,27.1,18.32,4.58,40,10,20,1,26.802048,5,18900
1/6/03,28.24,35.3,7.06,16,32.64,8.16,40,9.884,20,7.9072,6.32576,5,10500
1/7/03,117.16,146.45,29.29,28.3,38.88,4.32,40,41.006,20,32.8048,26.24384,5,21400
1/8/03,45.16,56.45,11.29,17.4,34.74,3.86,40,15.806,20,12.6448,10.11584,5,11900
1/9/03,38.88,48.6,9.72,1.5,27,3,40,13.608,20,10.8864,8.70912,5,9600
1/10/03,106.24,132.8,26.56,20,0.27,0.03,40,37.184,20,29.7472,23.79776,5,17400
1/11/03,38.28,47.85,9.57,1.4,6.66,0.74,40,13.398,20,10.7184,8.57472,5,9500
1/12/03,116.28,145.35,29.07,4.1,7.65,0.85,40,40.698,20,32.5584,26.04672,5,12800
1/1/04,106.76,133.45,26.69,43.8,4.5,0.5,40,37.366,20,29.8928,23.91424,5,25400
1/2/04,29.88,37.35,7.47,49.4,41.13,4.57,40,10.458,20,8.3664,6.69312,5,14700
1/3/04,17.24,21.55,4.31,26.7,31.59,3.51,40,6.034,20,4.8272,3.86176,5,10100
1/4/04,91.2,114,22.8,37.7,28.8,3.2,40,31.92,20,25.536,20.4288,5,21500
1/5/04,81,101.25,20.25,22.3,28.44,3.16,40,28.35,20,22.68,18.144,5,16600
1/6/04,70.8,88.5,17.7,33.4,34.83,3.87,40,24.78,20,19.824,15.8592,5,17100
1/7/04,117.44,146.8,29.36,27.7,1.62,0.18,40,41.104,20,32.8832,26.30656,5,20700
1/8/04,82.76,103.45,20.69,8.4,23.76,2.64,40,28.966,20,23.1728,18.53824,5,12900
1/9/04,10.04,12.55,2.51,25.7,38.97,4.33,40,3.514,20,2.8112,2.24896,5,8500
1/10/04,70.04,87.55,17.51,22.5,28.35,3.15,40,24.514,20,19.6112,15.68896,5,14900
1/11/04,35.88,44.85,8.97,9.9,32.13,3.57,40,12.558,20,10.0464,8.03712,5,10600
1/12/04,95.96,119.95,23.99,41.5,16.65,1.85,40,33.586,20,26.8688,21.49504,5,23200
1/1/05,90.88,113.6,22.72,15.8,44.91,4.99,40,31.808,20,25.4464,20.35712,5,14800
1/2/05,26.76,33.45,6.69,11.7,33.12,3.68,40,9.366,20,7.4928,5.99424,5,9700
1/3/05,79.92,99.9,19.98,3.1,31.14,3.46,40,27.972,20,22.3776,17.90208,5,11400
1/4/05,40.16,50.2,10.04,9.6,3.24,0.36,40,14.056,20,11.2448,8.99584,5,10700
1/5/05,86.56,108.2,21.64,41.7,35.64,3.96,20,30.296,20,24.2368,19.38944,5,22600
1/6/05,73.04,91.3,18.26,46.2,52.83,5.87,20,25.564,20,20.4512,16.36096,5,21200
1/7/05,105.08,131.35,26.27,28.8,14.31,1.59,20,36.778,20,29.4224,23.53792,5,20200
1/8/05,79.56,99.45,19.89,49.4,54,6,20,27.846,20,22.2768,17.82144,5,23700
1/9/05,2.92,3.65,0.73,28.1,37.26,4.14,20,1.022,20,0.8176,0.65408,5,5500
1/10/05,54.48,68.1,13.62,19.2,14.94,1.66,20,19.068,20,15.2544,12.20352,5,13200
1/11/05,84.32,105.4,21.08,49.6,33.93,3.77,20,29.512,20,23.6096,18.88768,5,23800
1/12/05,84.28,105.35,21.07,29.5,8.37,0.93,20,29.498,20,23.5984,18.87872,5,18400
1/1/06,21.4,26.75,5.35,2,19.26,2.14,20,7.49,20,5.992,4.7936,5,8100
1/2/06,104.52,130.65,26.13,42.7,49.23,5.47,20,36.582,20,29.2656,23.41248,5,24200
1/3/06,95.72,119.65,23.93,15.5,24.57,2.73,20,33.502,20,26.8016,21.44128,5,15700
1/4/06,41.08,51.35,10.27,29.6,7.56,0.84,20,14.378,20,11.5024,9.20192,5,14000
1/5/06,52.44,65.55,13.11,42.8,26.01,2.89,20,18.354,20,14.6832,11.74656,5,18000
1/6/06,27.6,34.5,6.9,9.3,0.81,0.09,20,9.66,20,7.728,6.1824,5,9300
1/7/06,12.6,15.75,3.15,24.6,1.98,0.22,20,4.41,20,3.528,2.8224,5,9500
1/8/06,55.72,69.65,13.93,14.5,9.18,1.02,20,19.502,20,15.6016,12.48128,5,13400
1/9/06,94.96,118.7,23.74,27.5,9.9,1.1,20,33.236,20,26.5888,21.27104,5,18900
1/10/06,86.72,108.4,21.68,43.9,24.48,2.72,20,30.352,20,24.2816,19.42528,5,22300
1/11/06,99.55,2,99.55,30.6,34.83,3.87,30,34.8425,20,27.874,22.2992,5,18300
1/12/06,54.9,2,54.9,14.3,28.53,3.17,30,19.215,20,15.372,12.2976,5,12400
1/1/07,13.4,2,13.4,33,17.37,1.93,30,4.69,20,3.752,3.0016,5,8800
1/2/07,64.7,2,64.7,5.7,28.17,3.13,30,22.645,20,18.116,14.4928,5,11000
1/3/07,106.7,2,106.7,24.6,11.79,1.31,30,37.345,20,29.876,23.9008,5,17000
1/4/07,8.45,2,8.45,43.7,80.46,8.94,30,2.9575,20,2.366,1.8928,5,8700
1/5/07,13.75,2,13.75,1.6,18.63,2.07,30,4.8125,20,3.85,3.08,5,6900
1/6/07,60.25,2,60.25,28.5,12.78,1.42,30,21.0875,20,16.87,13.496,5,14200
1/7/07,2.7,2,2.7,29.9,8.46,0.94,30,0.945,20,0.756,0.6048,5,5300
1/8/07,58,2,58,7.7,20.79,2.31,30,20.3,20,16.24,12.992,5,11000
1/9/07,38.2,2,38.2,26.7,20.07,2.23,30,13.37,20,10.696,8.5568,5,11800
1/10/07,119.9,2,119.9,4.1,33.21,3.69,30,41.965,20,33.572,26.8576,5,12300
1/11/07,37.65,2,37.65,20.3,29.25,3.25,30,13.1775,20,10.542,8.4336,5,11300
1/12/07,34.2,2,34.2,44.5,32.04,3.56,30,11.97,20,9.576,7.6608,5,13600
1/1/08,106.75,2,106.75,43,30.42,3.38,30,37.3625,20,29.89,23.912,5,21700
1/2/08,96.6,2,96.6,18.4,59.13,6.57,30,33.81,20,27.048,21.6384,5,15200
1/3/08,38.15,2,38.15,27.5,14.4,1.6,30,13.3525,20,10.682,8.5456,5,12000
1/4/08,55.35,2,55.35,40.6,56.88,6.32,30,19.3725,20,15.498,12.3984,5,16000
1/5/08,44.15,2,44.15,25.5,66.06,7.34,30,15.4525,20,12.362,9.8896,5,12900
1/6/08,54.9,2,54.9,47.8,46.26,5.14,30,19.215,20,15.372,12.2976,5,16700
1/7/08,67.15,2,67.15,4.9,8.37,0.93,30,23.5025,20,18.802,15.0416,5,11200
1/8/08,14.3,2,14.3,1.5,29.7,3.3,30,5.005,20,4.004,3.2032,5,7300
1/9/08,108.85,2,108.85,33.5,53.1,5.9,30,38.0975,20,30.478,24.3824,5,19400
1/10/08,125.45,2,125.45,36.5,65.07,7.23,30,43.9075,20,35.126,28.1008,5,22200
1/11/08,53.7,2,53.7,14,9.81,1.09,30,18.795,20,15.036,12.0288,5,11500
1/12/08,81.65,2,81.65,31.6,47.61,5.29,30,28.5775,20,22.862,18.2896,5,16900
1/1/09,98.8,2,98.8,3.5,5.31,0.59,30,34.58,20,27.664,22.1312,5,11700
1/2/09,92.45,2,92.45,21,19.8,2.2,30,32.3575,20,25.886,20.7088,5,15500
1/3/09,144.85,2,144.85,42.3,46.08,5.12,30,50.6975,20,40.558,32.4464,5,25400
1/4/09,22.24,94.64,67.6,41.7,36.72,9.18,30,7.784,20,1,4.98176,5,17200
1/5/09,22.24,155.68,44.48,4.3,39.84,9.96,30,7.784,20,1,4.98176,5,11700
1/6/09,29.64,207.48,59.28,36.3,80.72,20.18,30,10.374,20,1,6.63936,5,23800
1/7/09,28.02,196.14,56.04,10.1,17.12,4.28,30,9.807,20,1,6.27648,5,14800
1/8/09,18.79,131.53,37.58,17.2,14.32,3.58,30,6.5765,20,1,4.20896,5,14700
1/9/09,23.82,166.74,47.64,34.3,4.24,1.06,30,8.337,20,1,5.33568,5,20700
1/10/09,13.79,96.53,27.58,46.4,47.2,11.8,30,4.8265,20,1,3.08896,5,19200
1/11/09,2.5,17.5,5,11,23.76,5.94,30,0.875,20,1,0.56,5,7200
1/12/09,9.04,63.28,18.08,0.3,18.56,4.64,30,3.164,20,1,2.02496,5,8700
1/1/10,1.31,9.17,2.62,0.4,20.48,5.12,30,0.4585,20,1,0.29344,5,5300
1/2/10,25.54,178.78,51.08,26.9,4.4,1.1,40,8.939,20,1,5.72096,5,19800
1/3/10,22.58,158.06,45.16,8.2,45.2,11.3,40,7.903,20,1,5.05792,5,13400
1/4/10,24.17,169.19,48.34,38,18.56,4.64,40,8.4595,20,1,5.41408,5,21800
1/5/10,17.57,122.99,35.14,15.4,1.92,0.48,40,6.1495,20,1,3.93568,5,14100
1/6/10,20.96,146.72,41.92,20.6,8.56,2.14,40,7.336,20,1,4.69504,5,15900
1/7/10,7.82,54.74,15.64,46.8,27.6,6.9,40,2.737,20,1,1.75168,5,14600
1/8/10,7.51,52.57,15.02,35,42.16,10.54,40,2.6285,20,1,1.68224,5,12600
1/9/10,13.92,97.44,27.84,14.3,20.48,5.12,40,4.872,20,1,3.11808,5,12200
1/10/10,7.64,53.48,15.28,0.8,11.84,2.96,40,2.674,20,1,1.71136,5,9400
1/11/10,12.57,87.99,25.14,36.9,63.36,15.84,40,4.3995,20,3.5196,2.81568,5,15900
1/12/10,15.52,1,3.88,16,17.84,4.46,40,5.432,20,4.3456,3.47648,5,6600
1/1/11,113.04,1,28.26,26.8,36.96,9.24,40,39.564,20,31.6512,25.32096,5,15500
1/2/11,15.04,1,3.76,21.7,40.32,10.08,40,5.264,20,4.2112,3.36896,5,7000
1/3/11,179.2,1,44.8,2.4,12.48,3.12,40,62.72,20,50.176,40.1408,5,11600
1/4/11,98.48,1,24.62,34.6,9.92,2.48,40,34.468,20,27.5744,22.05952,5,15200
1/5/11,183.6,1,45.9,32.3,59.36,14.84,40,64.26,20,51.408,41.1264,5,19700
1/6/11,69.76,1,17.44,11.8,20.72,5.18,40,24.416,20,19.5328,15.62624,5,10600
1/7/11,7.8,1,0,38.9,40.48,10.12,40,2.73,20,2.184,1.7472,5,6600
1/8/11,64.16,1,16.04,0,7.36,1.84,40,22.456,20,17.9648,14.37184,5,8800
1/9/11,176.24,1,44.06,49,2.56,0.64,40,61.684,20,49.3472,39.47776,5,24700
1/10/11,47.68,1,11.92,12,34.48,8.62,40,16.688,20,13.3504,10.68032,5,9700
1/11/11,0.7,1,0,39.6,6.96,1.74,40,0.245,20,0.196,0.1568,5,1600
1/12/11,212.16,1,53.04,2.9,34.4,8.6,40,74.256,20,59.4048,47.52384,5,12700
1/1/12,8.4,1,0,27.2,1.68,0.42,40,2.94,20,2.352,1.8816,5,5700
1/2/12,175.84,1,43.96,33.5,36.08,9.02,40,61.544,20,49.2352,39.38816,5,19600
1/3/12,29.52,1,7.38,38.6,52.48,13.12,40,10.332,20,8.2656,6.61248,5,10800
1/4/12,38.64,1,9.66,47,6.8,1.7,40,13.524,20,10.8192,8.65536,5,11600
1/5/12,20.48,1,5.12,39,7.44,1.86,40,7.168,20,5.7344,4.58752,5,9500
1/6/12,218.96,1,54.74,28.9,47.76,11.94,40,76.636,20,61.3088,49.04704,5,20800
1/7/12,34.4,1,8.6,25.9,16.4,4.1,40,12.04,20,9.632,7.7056,5,9600
1/8/12,147.92,1,36.98,43.9,1.36,0.34,40,51.772,20,41.4176,33.13408,5,20700
1/9/12,58.72,1,14.68,17,10.32,2.58,40,20.552,20,16.4416,13.15328,5,10900
1/10/12,154.96,1,38.74,35.4,60.48,15.12,40,54.236,20,43.3888,34.71104,5,19200
1/11/12,176.4,1,44.1,33.2,30.32,7.58,40,61.74,20,49.392,39.5136,5,20100
1/12/12,83.68,1,20.92,5.7,27.52,6.88,40,29.288,20,23.4304,18.74432,5,10400
1/1/13,76.96,1,19.24,14.8,31.12,7.78,40,26.936,20,21.5488,17.23904,5,11400
1/2/13,112.24,1,28.06,1.9,7.2,1.8,40,39.284,20,31.4272,25.14176,5,10300
1/3/13,192.08,1,48.02,7.3,6.96,1.74,40,67.228,20,53.7824,43.02592,5,13200
1/4/13,194.56,1,48.64,49,35.44,8.86,40,68.096,20,54.4768,43.58144,5,25400
1/5/13,30.4,1,7.6,40.3,9.52,2.38,40,10.64,20,8.512,6.8096,5,10900
1/6/13,35.76,1,8.94,25.8,16.48,4.12,40,12.516,20,10.0128,8.01024,5,10100
1/7/13,224.56,1,56.14,13.9,29.6,7.4,15,78.596,20,62.8768,50.30144,5,16100
1/8/13,96.8,1,24.2,8.4,38.96,9.74,15,33.88,20,27.104,21.6832,5,11600
1/9/13,158.08,1,39.52,23.3,11.36,2.84,15,55.328,20,44.2624,35.40992,5,16600
1/10/13,137.04,1,34.26,39.7,30.16,7.54,15,47.964,20,38.3712,30.69696,5,19000
1/11/13,150.24,1,37.56,21.1,7.6,1.9,15,52.584,20,42.0672,33.65376,5,15600
1/12/13,3.28,1,0.82,11.6,4.56,1.14,15,1.148,20,0.9184,0.73472,5,3200
1/1/14,75.12,1,18.78,43.5,40.4,10.1,15,26.292,20,21.0336,16.82688,5,15300
1/2/14,119.84,1,29.96,1.3,19.44,4.86,15,41.944,20,33.5552,26.84416,5,10100
1/3/14,9.36,1,2.34,36.9,36.16,9.04,15,3.276,20,2.6208,2.09664,5,7300
1/4/14,105.36,1,26.34,18.4,27.68,6.92,15,36.876,20,29.5008,23.60064,5,12900
1/5/14,138,1,34.5,18.1,24.56,6.14,15,48.3,20,38.64,30.912,5,14400
1/6/14,68.56,1,17.14,35.8,39.44,9.86,15,23.996,20,19.1968,15.35744,5,13300
1/7/14,150.72,1,37.68,18.1,20.48,5.12,15,52.752,20,42.2016,33.76128,5,14900
1/8/14,130.8,1,32.7,36.8,5.92,1.48,15,45.78,20,36.624,29.2992,5,18000
1/9/14,93.76,1,23.44,14.7,4.32,1.08,15,32.816,10,26.2528,21.00224,5,11900
1/10/14,117.25,1,117.25,3.4,67.84,16.96,15,41.0375,10,32.83,26.264,5,11900
1/11/14,8.95,1,8.95,37.6,17.28,4.32,15,3.1325,10,2.506,2.0048,5,8000
1/12/14,103.4,1,103.4,5.2,15.52,3.88,15,36.19,10,28.952,23.1616,5,12200
1/1/15,107.7,1,107.7,23.6,46.08,11.52,15,37.695,10,30.156,24.1248,5,17100
1/2/15,71.075,71.075,142.15,10.6,10,1,15,24.87625,10,19.901,15.9208,5,15000
1/3/15,12.5,12.5,25,11.6,10,1,15,4.375,10,3.5,2.8,5,8400
1/4/15,41.125,41.125,82.25,20.9,10,1,15,14.39375,10,11.515,9.212,5,14500
1/5/15,4.9,4.9,9.8,20.1,10,1,15,1.715,10,1.372,1.0976,5,7600
1/6/15,42.1,42.1,84.2,7.1,10,1,15,14.735,10,11.788,9.4304,5,11700
1/7/15,55.6,55.6,111.2,3.4,10,1,15,19.46,10,15.568,12.4544,5,11500
1/8/15,69.225,69.225,138.45,48.9,10,1,15,24.22875,10,19.383,15.5064,5,27000
1/9/15,62.1,62.1,124.2,30.2,10,1,15,21.735,10,17.388,13.9104,5,20200
1/10/15,42.55,42.55,85.1,7.8,10,1,15,14.8925,10,11.914,9.5312,5,11700
1/11/15,69.175,69.175,138.35,2.3,10,1,15,24.21125,10,19.369,15.4952,5,11800
1/12/15,41.4,41.4,82.8,10,10,1,15,14.49,10,11.592,9.2736,5,12600
1/1/16,39.15,39.15,78.3,2.6,10,1,15,13.7025,20,10.962,8.7696,5,10500
1/2/16,54.625,54.625,109.25,5.4,10,1,15,19.11875,20,15.295,12.236,5,12200
1/3/16,14.05,14.05,28.1,5.7,10,1,15,4.9175,20,3.934,3.1472,5,8700
1/4/16,71.9,71.9,143.8,43,10,1,15,25.165,20,20.132,16.1056,5,26200
1/5/16,63.45,63.45,126.9,21.3,10,1,15,22.2075,20,17.766,14.2128,5,17600
1/6/16,51.25,51.25,102.5,45.1,10,1,15,17.9375,20,14.35,11.48,5,22600
1/7/16,34.875,34.875,69.75,2.1,10,1,15,12.20625,20,9.765,7.812,5,10300
1/8/16,47.775,47.775,95.55,28.7,10,1,15,16.72125,20,13.377,10.7016,5,17300
1/9/16,71.5,71.5,143,13.9,10,1,15,25.025,20,20.02,16.016,5,15900
1/10/16,4.675,4.675,9.35,12.1,10,1,15,1.63625,20,1.309,1.0472,5,6700
1/11/16,9.875,9.875,19.75,41.1,10,1,15,3.45625,20,2.765,2.212,5,10800
1/12/16,18.875,18.875,37.75,10.8,10,1,15,6.60625,20,5.285,4.228,5,9900
1/1/17,4.3,4.3,8.6,4.1,10,1,15,1.505,20,1.204,0.9632,5,5900
1/2/17,41.7,41.7,83.4,42,10,1,15,14.595,20,11.676,9.3408,5,19600
1/3/17,37.425,37.425,74.85,35.6,10,1,15,13.09875,20,10.479,8.3832,5,17300
1/4/17,9.55,9.55,19.1,3.7,10,1,15,3.3425,20,2.674,2.1392,5,7600
1/5/17,23.55,23.55,47.1,4.9,10,1,15,8.2425,20,6.594,5.2752,5,9700
1/6/17,44.25,44.25,88.5,9.3,10,1,15,15.4875,20,12.39,9.912,5,12800
1/7/17,70.9,70.9,141.8,42,10,1,15,24.815,20,19.852,15.8816,5,25500
1/8/17,58.025,58.025,116.05,8.6,10,1,15,20.30875,20,16.247,12.9976,5,13400